birdId,birdName,scientificName
142,Spur-winged Goose,Plectropterus gambensis
143,Egyptian Goose,Alopochen aegyptiaca
144,South African Shelduck,Tadorna cana
145,Knob-billed Duck,Sarkidiornis melanotos
146,African Black Duck,Anas sparsa
147,Yellow-billed Duck,Anas undulata
148,Mallard,Anas platyrhynchos
149,Cape Shoveler,Spatula smithii
150,Northern Shoveler,Spatula clypeata
151,Cape Teal,Anas capensis
152,Red-billed Teal,Anas erythrorhyncha
153,Garganey,Spatula querquedula
154,Blue-billed Teal,Spatula hottentota
155,Northern Pintail,Anas acuta
156,Southern Pochard,Netta erythrophthalma
157,Maccoa Duck,Oxyura maccoa
158,Red-knobbed Coot,Fulica cristata
159,Common Moorhen,Gallinula chloropus
160,Lesser Moorhen,Paragallinula angulata
161,African Finfoot,Podica senegalensis
162,Greater Flamingo,Phoenicopterus roseus
163,Lesser Flamingo,Phoeniconaias minor
164,Yellow-billed Stork,Mycteria ibis
165,White Stork,Ciconia ciconia
166,Black Stork,Ciconia nigra
167,Abdim's Stork,Ciconia abdimii
168,Saddle-billed Stork,Ephippiorhynchus senegalensis
169,Marabou Stork,Leptoptilos crumenifer
170,Woolly-necked Stork,Ciconia microscelis
171,African Openbill,Anastomus lamelligerus
172,Hadeda Ibis,Bostrychia hagedash
173,Glossy Ibis,Plegadis falcinellus
174,Southern Bald Ibis,Geronticus calvus
175,African Sacred Ibis,Threskiornis aethiopicus
176,African Spoonbill,Platalea alba
177,Hamerkop,Scopus umbretta
178,Goliath Heron,Ardea goliath
179,Purple Heron,Ardea purpurea
180,Grey Heron,Ardea cinerea
181,Black-headed Heron,Ardea melanocephala
182,Great Egret,Ardea alba
183,Yellow-billed Egret,Ardea brachyrhyncha
184,Little Egret,Egretta garzetta
185,Western Cattle Egret,Ardea ibis
186,Snowy Egret,Egretta thula
187,Western Reef Heron,Egretta gularis
188,Little Blue Heron,Egretta caerulea
189,Slaty Egret,Egretta vinaceigula
190,Black Heron,Egretta ardesiaca
191,Rufous-bellied Heron,Ardeola rufiventris
192,Squacco Heron,Ardeola ralloides
193,Malagasy Pond Heron,Ardeola idae
194,Green-backed Heron,Butorides striata
195,Black-crowned Night Heron,Nycticorax nycticorax
196,White-backed Night Heron,Calherodius leuconotus
197,Eurasian Bittern,Botaurus stellaris
198,Little Bittern,Botaurus minutus
199,Dwarf Bittern,Botaurus sturmii
200,African Rail,Rallus caerulescens
201,African Crake,Crecopsis egregia
202,Corn Crake,Crex crex
203,Striped Crake,Aenigmatolimnas marginalis
204,Spotted Crake,Porzana porzana
205,Baillon's Crake,Zapornia pusilla
206,Little Crake,Zapornia parva
207,Black Crake,Zapornia flavirostra
208,African Swamphen,Porphyrio madagascariensis
209,Allen's Gallinule,Porphyrio alleni
210,Purple Gallinule,Porphyrio martinica
211,Buff-spotted Flufftail,Sarothrura elegans
212,Red-chested Flufftail,Sarothrura rufa
213,Streaky-breasted Flufftail,Sarothrura boehmi
214,Striped Flufftail,Sarothrura affinis
215,White-winged Flufftail,Sarothrura ayresi
216,Snowy Sheathbill,Chionis albus
217,Black-faced Sheathbill,Chionis minor
218,African Oystercatcher,Haematopus moquini
219,Eurasian Oystercatcher,Haematopus ostralegus
220,Pied Avocet,Recurvirostra avosetta
221,Black-winged Stilt,Himantopus himantopus
222,Crab-plover,Dromas ardeola
223,African Jacana,Actophilornis africanus
224,Lesser Jacana,Microparra capensis
225,Three-banded Plover,Charadrius tricollaris
226,Common Ringed Plover,Charadrius hiaticula
227,Little Ringed Plover,Charadrius dubius
228,Chestnut-banded Plover,Anarhynchus pallidus
229,Kittlitz's Plover,Anarhynchus pecuarius
230,White-fronted Plover,Anarhynchus marginatus
231,Lesser Sand Plover,Anarhynchus atrifrons
232,Greater Sand Plover,Anarhynchus leschenaultii
233,Caspian Plover,Anarhynchus asiaticus
234,Grey Plover,Pluvialis squatarola
235,American Golden Plover,Pluvialis dominica
236,Pacific Golden Plover,Pluvialis fulva
237,Greater Painted Snipe,Rostratula benghalensis
238,African Snipe,Gallinago nigripennis
239,Great Snipe,Gallinago media
240,Eurasian Curlew,Numenius arquata
241,Whimbrel,Numenius phaeopus
242,Asian Dowitcher,Limnodromus semipalmatus
243,Bar-tailed Godwit,Limosa lapponica
244,Black-tailed Godwit,Limosa limosa
245,Hudsonian Godwit,Limosa haemastica
246,Ruddy Turnstone,Arenaria interpres
247,Red Knot,Calidris canutus
248,Great Knot,Calidris tenuirostris
249,Curlew Sandpiper,Calidris ferruginea
250,Dunlin,Calidris alpina
251,White-rumped Sandpiper,Calidris fuscicollis
252,Baird's Sandpiper,Calidris bairdii
253,Sanderling,Calidris alba
254,Temminck's Stint,Calidris temminckii
255,Long-toed Stint,Calidris subminuta
256,Red-necked Stint,Calidris ruficollis
257,Little Stint,Calidris minuta
258,Broad-billed Sandpiper,Calidris falcinellus
259,Pectoral Sandpiper,Calidris melanotos
260,Sharp-tailed Sandpiper,Calidris acuminata
261,Buff-breasted Sandpiper,Calidris subruficollis
262,Ruff,Calidris pugnax
263,Terek Sandpiper,Xenus cinereus
264,Common Sandpiper,Actitis hypoleucos
265,Green Sandpiper,Tringa ochropus
266,Wood Sandpiper,Tringa glareola
267,Marsh Sandpiper,Tringa stagnatilis
268,Common Greenshank,Tringa nebularia
269,Greater Yellowlegs,Tringa melanoleuca
270,Lesser Yellowlegs,Tringa flavipes
271,Common Redshank,Tringa totanus
272,Spotted Redshank,Tringa erythropus
273,Red-necked Phalarope,Phalaropus lobatus
274,Red Phalarope,Phalaropus fulicarius
275,Wilson's Phalarope,Phalaropus tricolor
276,Collared Pratincole,Glareola pratincola
277,Black-winged Pratincole,Glareola nordmanni
278,Rock Pratincole,Glareola nuchalis
279,Madagascar Pratincole,Glareola ocularis
280,Common Ostrich,Struthio camelus
281,Secretarybird,Sagittarius serpentarius
282,Southern Ground Hornbill,Bucorvus leadbeateri
283,Blue Crane,Grus paradisea
284,Wattled Crane,Grus carunculata
285,Grey Crowned Crane,Balearica regulorum
286,Kori Bustard,Ardeotis kori
287,Denham's Bustard,Neotis denhami
288,Ludwig's Bustard,Neotis ludwigii
289,Southern Black Korhaan,Afrotis afra
290,Northern Black Korhaan,Afrotis afraoides
291,Black-bellied Korhaan,Lissotis melanogaster
292,Red-crested Korhaan,Lophotis ruficrista
293,White-bellied Korhaan,Eupodotis senegalensis
294,Blue Korhaan,Eupodotis caerulescens
295,Karoo Korhaan,Heterotetrax vigorsii
296,Rüppell's Korhaan,Heterotetrax rueppelii
297,Helmeted Guineafowl,Numida meleagris
298,Crested Guineafowl,Guttera edouardi
299,Coqui Francolin,Campocolinus coqui
300,Grey-winged Francolin,Scleroptila afra
301,Orange River Francolin,Scleroptila gutturalis
302,Red-winged Francolin,Scleroptila levaillantii
303,Shelley's Francolin,Scleroptila shelleyi
