birdId,birdName,scientificName
627,Tractrac Chat,Emarginata tractrac
628,Karoo Chat,Emarginata schlegelii
629,White-throated Robin,Irania gutturalis
630,Spike-heeled Lark,Chersomanes albofasciata
631,Red-capped Lark,Calandrella cinerea
632,Large-billed Lark,Galerida magnirostris
633,Dusky Lark,Pinarocorys nigricans
634,Cape Clapper Lark,Corypha apiata
635,Eastern Clapper Lark,Corypha fasciolata
636,Flappet Lark,Amirafra rufocinnamomea
637,Melodious Lark,Mirafra cheniana
638,Monotonous Lark,Mirafra passerina
639,Rufous-naped Lark,Corypha africana
640,Sabota Lark,Calendulauda sabota
641,Fawn-coloured Lark,Calendulauda africanoides
642,Karoo Lark,Calendulauda albescens
643,Barlow's Lark,Calendulauda (erythrochlamys) barlowi
644,Dune Lark,Calendulauda erythrochlamys
645,Red Lark,Calendulauda burra
646,Short-clawed Lark,Certhilauda chuana
647,Eastern Long-billed Lark,Certhilauda semitorquata
648,Karoo Long-billed Lark,Certhilauda subcoronata
649,Benguela Long-billed Lark,Certhilauda (subcoronata) benguelensis
650,Cape Long-billed Lark,Certhilauda curvirostris
651,Agulhas Long-billed Lark,Certhilauda (curvirostris) brevirostris
652,Rudd's Lark,Heteromirafra ruddi
653,Botha's Lark,Spizocorys fringillaris
654,Pink-billed Lark,Spizocorys conirostris
655,Sclater's Lark,Spizocorys sclateri
656,Stark's Lark,Spizocorys starki
657,Gray's Lark,Ammomanopsis grayi
658,Chestnut-backed Sparrow-Lark,Eremopterix leucotis
659,Grey-backed Sparrow-Lark,Eremopterix verticalis
660,Black-eared Sparrow-Lark,Eremopterix australis
661,Short-tailed Pipit,Anthus brachyurus
662,Bushveld Pipit,Anthus caffer
663,Tree Pipit,Anthus trivialis
664,Red-throated Pipit,Anthus cervinus
665,African Pipit,Anthus cinnamomeus
666,Mountain Pipit,Anthus hoeschi
667,Nicholson's Pipit,Anthus nicholsoni
668,Wood Pipit,Anthus nyassae
669,Plain-backed Pipit,Anthus leucophrys
670,Buffy Pipit,Anthus vaalensis
671,African Rock Pipit,Anthus crenatus
672,Striped Pipit,Anthus lineiventris
673,Yellow-breasted Pipit,Anthus chloris
674,Golden Pipit,Tmetothylacus tenellus
675,Yellow-throated Longclaw,Macronyx croceus
676,Cape Longclaw,Macronyx capensis
677,Rosy-throated Longclaw,Macronyx ameliae
678,African Pied Wagtail,Motacilla aguimp
679,Cape Wagtail,Motacilla capensis
680,Mountain Wagtail,Motacilla clara
681,Grey Wagtail,Motacilla cinerea
682,Citrine Wagtail,Motacilla citreola
683,Western Yellow Wagtail,Motacilla flava
684,White Wagtail,Motacilla alba
685,Red-faced Mousebird,Urocolius indicus
686,Speckled Mousebird,Colius striatus
687,White-backed Mousebird,Colius colius
688,Red-throated Wryneck,Jynx ruficollis
689,Ground Woodpecker,Geocolaptes olivaceus
690,Olive Woodpecker,Dendropicos griseocephalus
691,Knysna Woodpecker,campethera notata
692,Golden-tailed Woodpecker,Campethera abingoni
693,Bennett's Woodpecker,Campethera bennettii
694,Speckle-throated Woodpecker,Campethera scriptoricauda
695,Green-backed Woodpecker,Campethera cailliautii
696,Cardinal Woodpecker,Dendropicos fuscescens
697,Bearded Woodpecker,Chloropicus namaquus
698,Crested Barbet,Trachyphonus vaillantii
699,Black-collared Barbet,Lybius torquatus
700,Acacia Pied Barbet,Tricholaema leucomelas
701,White-eared Barbet,Stactolaema leucotis
702,Whyte's Barbet,Stactolaema whytii
703,Green Barbet,Cryptolybia olivacea
704,Green Tinkerbird,Pogoniulus simplex
705,Red-fronted Tinkerbird,Pogoniulus pusillus
706,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus
707,Yellow-rumped Tinkerbird,Pogoniulus bilineatus
708,Greater Honeyguide,Indicator indicator
709,Scaly-throated Honeyguide,Indicator variegatus
710,Lesser Honeyguide,Indicator minor
711,Pallid Honeyguide,Indicator meliphilus
712,Brown-backed Honeybird,Prodotiscus regulus
713,Green-backed Honeybird,Prodotiscus zambesiae
714,African Broadbill,Smithornis capensis
715,White-tailed Shrike,Lanioturdus torquatus
716,Black-throated Wattle-eye,Platysteira peltata
717,Woodward's Batis,Batis fratrum
718,Cape Batis,Batis capensis
719,Chinspot Batis,Batis molitor
720,Pririt Batis,Batis pririt
721,Pale Batis,Batis soror
722,Southern Fiscal,Lanius collaris
723,Lesser Grey Shrike,Lanius minor
724,Red-backed Shrike,Lanius collurio
725,Souza's Shrike,Lanius souzae
726,Red-tailed Shrike,Lanius phoenicuroides
727,Southern White-crowned Shrike,Eurocephalus anguitimens
728,Magpie Shrike,Lanius melanoleucus
729,Grey-headed Bushshrike,Malaconotus blanchoti
730,Orange-breasted Bushshrike,Chlorophoneus sulfureopectus
731,Olive Bushshrike,Chlorophoneus olivaceus
732,Black-fronted Bushshrike,Chlorophoneus nigrifrons
733,Gorgeous Bushshrike,Telophorus viridis
734,Bokmakierie,Telophorus zeylonus
735,Marsh Tchagra,Bocagia minuta
736,Southern Tchagra,Tchagra tchagra
737,Brown-crowned Tchagra,Tchagra australis
738,Black-crowned Tchagra,Tchagra senegalus
739,Southern Boubou,Laniarius ferrugineus
740,Tropical Boubou,Laniarius major
741,Swamp Boubou,Laniarius bicolor
742,Crimson-breasted Shrike,Laniarius atrococcineus
743,Black-backed Puffback,Dryoscopus cubla
744,Brubru,Nilaus afer
745,White-crested Helmetshrike,Prionops plumatus
746,Retz's Helmetshrike,Prionops retzii
747,Chestnut-fronted Helmetshrike,Prionops scopifrons
748,Black-and-white Shrike-Flycatcher,Bias musicus
749,Black Cuckooshrike,Campephaga flava
750,Grey Cuckooshrike,Ceblepyris caesius
751,White-breasted Cuckooshrike,Ceblepyris pectoralis
752,Fork-tailed Drongo,Dicrurus adsimilis
753,Square-tailed Drongo,Dicrurus ludwigii
754,Black-headed Oriole,Oriolus larvatus
755,Eurasian Golden Oriole,Oriolus oriolus
756,African Golden Oriole,Oriolus auratus
757,Green-headed Oriole,Oriolus chlorocephalus
758,African Paradise Flycatcher,Terpsiphone viridis
759,Blue-mantled Crested Flycatcher,Trochocercus cyanomelas
760,White-tailed Crested Flycatcher,Elminia albonotata
761,Fairy Flycatcher,Stenostira scita
762,Livingstone's Flycatcher,Erythrocercus livingstonei
763,Chat Flycatcher,Agricola infuscatus
764,Marico Flycatcher,Bradornis mariquensis
765,Pale Flycatcher,Agricola pallidus
766,Spotted Flycatcher,Muscicapa striata
767,African Dusky Flycatcher,Muscicapa adusta
768,Ashy Flycatcher,Fraseria caerulescens
769,Grey Tit-Flycatcher,Fraseria plumbea
770,Southern Black Flycatcher,Melaenornis pammelaina
771,Fiscal Flycatcher,Sigelus silens
772,Collared Flycatcher,Ficedula albicollis
773,European Pied Flycatcher,Ficedula hypoleuca
774,Southern Hyliota,Hyliota australis
775,Yellow-bellied Hyliota,Hyliota flavigaster
776,Southern Black Tit,Melaniparus niger
777,Carp's Tit,Melaniparus carpi
778,Grey Tit,Melaniparus afer
779,Ashy Tit,Melaniparus cinerascens
780,Miombo Tit,Melaniparus griseiventris
781,Cinnamon-breasted Tit,Melaniparus (rufiventris) pallidiventris
782,Rufous-bellied Tit,Melaniparus rufiventris
783,Cape Penduline Tit,Anthoscopus minutus
784,Grey Penduline Tit,Anthoscopus caroli
785,Dark-capped Bulbul,Pycnonotus barbatus
786,African Red-eyed Bulbul,Pycnonotus nigricans
787,Cape Bulbul,Pycnonotus capensis
788,Terrestrial Brownbul,Phyllastrephus terrestris
789,Yellow-bellied Greenbul,Chlorocichla flaviventris
790,Sombre Greenbul,Andropadus importunus
791,Stripe-cheeked Greenbul,Arizelocichla milanjensis
792,Yellow-streaked Greenbul,Phyllastrephus flavostriatus
793,Lowland Tiny Greenbul,Phyllastrephus debilis
794,Yellow-throated Leaflove,Atimastillas flavigula
795,Eastern Nicator,Nicator gularis
796,Bush Blackcap,Sylvia nigricapillus
797,Chestnut-vented Tit-babbler,Curruca subcoerulea
798,Layard's Tit-babbler,Curruca layardi
799,Common Whitethroat,Curruca communis
800,Lesser Whitethroat,Curruca curruca
801,Eurasian Blackcap,Sylvia atricapilla
802,Garden Warbler,Sylvia borin
803,Willow Warbler,Phylloscopus trochilus
804,Green Warbler,Phylloscopus nitidus
805,Yellow-throated Woodland Warbler,Phylloscopus ruficapilla
806,Dark-capped Yellow Warbler,Iduna natalensis
807,Icterine Warbler,Hippolais icterina
808,Olive-tree Warbler,Hippolais olivetorum
809,Upcher's Warbler,Hippolais languida
810,Sedge Warbler,Acrocephalus schoenobaenus
811,Marsh Warbler,Acrocephalus palustris
813,Common Reed Warbler,Acrocephalus scirpaceus
814,Lesser Swamp Warbler,Acrocephalus gracilirostris
815,Greater Swamp Warbler,Acrocephalus rufescens
816,Basra Reed Warbler,Acrocephalus griseldis
817,Great Reed Warbler,Acrocephalus arundinaceus
818,Little Rush Warbler,Bradypterus baboecala
819,Barratt's Warbler,Bradypterus barratti
820,Knysna Warbler,Bradypterus sylvaticus
821,River Warbler,Locustella fluviatilis
822,Broad-tailed Warbler,Catriscus brevirostris
823,Cape Grassbird,Sphenoeacus afer
824,Moustached Grass Warbler,Melocichla mentalis
825,Victorin's Warbler,Cryptillas victorini
826,Long-billed Crombec,Sylvietta rufescens
827,Red-faced Crombec,Sylvietta whytii
828,Red-capped Crombec,Sylvietta ruficapilla
829,Neddicky,Cisticola fulvicapilla
830,Short-winged Cisticola,Cisticola brachypterus
831,Zitting Cisticola,Cisticola juncidis
832,Desert Cisticola,Cisticola aridulus
833,Cloud Cisticola,Cisticola textrix
834,Wing-snapping Cisticola,Cisticola ayresii
835,Pale-crowned Cisticola,Cisticola cinnamomeus
836,Levaillant's Cisticola,Cisticola tinniens
837,Rufous-winged Cisticola,Cisticola galactotes
838,Luapula Cisticola,Cisticola luapula
839,Chirping Cisticola,Cisticola pipiens
840,Grey-backed Cisticola,Cisticola subruficapilla
841,Wailing Cisticola,Cisticola lais
842,Tinkling Cisticola,Cisticola rufilatus
843,Rattling Cisticola,Cisticola chiniana
844,Lazy Cisticola,Cisticola aberrans
845,Red-faced Cisticola,Cisticola erythrops
846,Singing Cisticola,Cisticola cantans
847,Croaking Cisticola,Cisticola natalensis
848,Tawny-flanked Prinia,Prinia subflava
849,Black-chested Prinia,Prinia flavicans
850,Drakensberg Prinia,Prinia hypoxantha
851,Karoo Prinia,Prinia maculosa
852,Namaqua Warbler,Phragmacia substriata
853,Rufous-eared Warbler,Malcorus pectoralis
854,Roberts's Warbler,Oreophilais robertsi
855,Red-winged Warbler,Prinia erythroptera
856,Cinnamon-breasted Warbler,Euryptila subcinnamomea
857,Barred Wren-Warbler,Calamonastes fasciolatus
858,Stierling's Wren-Warbler,Calamonastes stierlingi
859,Green-backed Camaroptera,Camaroptera brachyura
860,Grey-backed Camaroptera,Camaroptera brevicaudata
861,Bar-throated Apalis,Apalis thoracica
862,Rudd's Apalis,Apalis ruddi
863,Yellow-breasted Apalis,Apalis flavida
864,Chirinda Apalis,Apalis chirindensis
865,Black-headed Apalis,Apalis melanocephala
866,Yellow-bellied Eremomela,Eremomela icteropygialis
867,Burnt-necked Eremomela,Eremomela usticollis
868,Green-capped Eremomela,Eremomela scotops
869,Karoo Eremomela,Eremomela gregalis
870,Cape White-eye,Zosterops virens
871,Orange River White-eye,Zosterops pallidus
872,Southern Yellow White-eye,Zosterops anderssoni
873,African Spotted Creeper,Salpornis salvadori
874,Red-billed Oxpecker,Buphagus erythrorynchus
875,Yellow-billed Oxpecker,Buphagus africanus
876,Cape Sugarbird,Promerops cafer
877,Gurney's Sugarbird,Promerops gurneyi
878,Grey Sunbird,Cyanomitra veroxii
879,Olive Sunbird,Cyanomitra olivacea
880,Amethyst Sunbird,Chalcomitra amethystina
881,Scarlet-chested Sunbird,Chalcomitra senegalensis
882,Orange-breasted Sunbird,Anthobaphes violacea
883,Malachite Sunbird,Nectarinia famosa
884,Bronzy Sunbird,Nectarinia kilimensis
885,Copper Sunbird,Cinnyris cupreus
886,Greater Double-collared Sunbird,Cinnyris afer
887,Southern Double-collared Sunbird,Cinnyris chalybeus
888,Eastern Miombo Sunbird,Cinnyris manoensis
889,Marico Sunbird,Cinnyris mariquensis
890,Purple-banded Sunbird,Cinnyris bifasciatus
891,Neergaard's Sunbird,Cinnyris neergaardi
892,Shelley's Sunbird,Cinnyris shelleyi
893,Dusky Sunbird,Cinnyris fuscus
894,White-bellied Sunbird,Cinnyris talatala
895,Variable Sunbird,Cinnyris venustus
896,Collared Sunbird,Hedydipna collaris
897,Plain-backed Sunbird,Anthreptes reichenowi
898,Western Violet-backed Sunbird,Anthreptes longuemarei
899,House Sparrow,Passer domesticus
900,Cape Sparrow,Passer melanurus
901,Great Sparrow,Passer motitensis
902,Southern Grey-headed Sparrow,Passer diffusus
903,Northern Grey-headed Sparrow,Passer griseus
904,Yellow-throated Bush Sparrow,Gymnoris superciliaris
905,White-browed Sparrow-Weaver,Plocepasser mahali
906,Sociable Weaver,Philetairus socius
907,Scaly-feathered Finch,Sporopipes squamifrons
908,Red-billed Buffalo Weaver,Bubalornis niger
909,Thick-billed Weaver,Amblyospiza albifrons
910,Village Weaver,Ploceus cucullatus
911,Southern Masked Weaver,Ploceus velatus
912,Lesser Masked Weaver,Ploceus intermedius
913,Spectacled Weaver,Ploceus ocularis
914,Yellow Weaver,Ploceus subaureus
915,African Golden Weaver,Ploceus xanthops
916,Southern Brown-throated Weaver,Ploceus xanthopterus
917,Cape Weaver,Ploceus capensis
918,Chestnut Weaver,Ploceus rubiginosus
919,Dark-backed Weaver,Ploceus bicolor
920,Olive-headed Weaver,Ploceus olivaceiceps
921,Red-headed Weaver,Anaplectes rubriceps
922,Long-tailed Widowbird,Euplectes progne
923,Red-collared Widowbird,Euplectes ardens
924,Fan-tailed Widowbird,Euplectes axillaris
925,Yellow-mantled Widowbird,Euplectes macroura
926,White-winged Widowbird,Euplectes albonotatus
927,Yellow Bishop,Euplectes capensis
928,Yellow-crowned Bishop,Euplectes afer
929,Southern Red Bishop,Euplectes orix
930,Black-winged Bishop,Euplectes hordeaceus
931,Red-billed Quelea,Quelea quelea
932,Red-headed Quelea,Quelea erythrops
933,Cardinal Quelea,Quelea cardinalis
934,Pin-tailed Whydah,Vidua macroura
935,Shaft-tailed Whydah,Vidua regia
936,Long-tailed Paradise Whydah,Vidua paradisaea
937,Broad-tailed Paradise Whydah,Vidua obtusa
938,Dusky Indigobird,Vidua funerea
939,Purple Indigobird,Vidua purpurascens
940,Village Indigobird,Vidua chalybeata
941,Zambezi Indigobird,Vidua codringtoni
942,Cuckoo Finch,Anomalospiza imberbis
943,Red-headed Finch,Amadina erythrocephala
944,Cut-throat Finch,Amadina fasciata
945,Quailfinch,Ortygospiza atricollis
946,Locust Finch,Paludipasser locustella
947,African Firefinch,Lagonosticta rubricata
948,Jameson's Firefinch,Lagonosticta rhodopareia
949,Red-billed Firefinch,Lagonosticta senegala
950,Brown Firefinch,Lagonosticta nitidula
951,Red-faced Crimsonwing,Cryptospiza reichenovii
952,Lesser Seedcracker,Pyrenestes minor
953,Red-throated Twinspot,Hypargos niveoguttatus
954,Pink-throated Twinspot,Hypargos margaritatus
955,Green Twinspot,Mandingoa nitidula
956,Green-winged Pytilia,Pytilia melba
957,Orange-winged Pytilia,Pytilia afra
958,Orange-breasted Waxbill,Amandava subflava
959,Swee Waxbill,Coccopygia melanotis
960,Angolan Waxbill,Coccopygia bocagei
961,Yellow-bellied Waxbill,Coccopygia quartinia
962,Blue Waxbill,Uraeginthus angolensis
963,Violet-eared Waxbill,Granatina granatina
964,Common Waxbill,Estrilda astrild
965,Black-faced Waxbill,Brunhilda erythronotos
966,Grey Waxbill,Glaucestrilda perreini
967,Cinderella Waxbill,Glaucestrilda thomensis
968,Bronze Mannikin,Spermestes cucullata
969,Red-backed Mannikin,Spermestes nigriceps
970,Magpie Mannikin,Spermestes fringilloides
971,Black-headed Canary,Serinus alario
972,Cape Canary,Serinus canicollis
973,Forest Canary,Crithagra scotops
974,Brimstone Canary,Crithagra sulphurata
975,Yellow Canary,Crithagra flaviventris
976,Yellow-fronted Canary,Crithagra mozambica
977,Black-throated Canary,Crithagra atrogularis
978,Lemon-breasted Canary,Crithagra citrinipectus
979,Cape Siskin,Crithagra totta
980,Drakensberg Siskin,Crithagra symonsi
981,Protea Canary,Crithagra leucoptera
982,White-throated Canary,Crithagra albogularis
983,Streaky-headed Seedeater,Crithagra gularis
984,Black-eared Seedeater,Crithagra mennelli
985,Common Chaffinch,Fringilla coelebs
986,Lark-like Bunting,Emberiza impetuani
987,Cape Bunting,Emberiza capensis
988,Cinnamon-breasted Bunting,Emberiza tahapisi
989,Golden-breasted Bunting,Emberiza flaviventris
990,Cabanis's Bunting,Emberiza cabanisi
991,Ortolan Bunting,Emberiza hortulana
992,Laughing Gull,Leucophaeus atricilla
993,Wood Warbler,Phylloscopus sibilatrix
994,Christmas Island Frigatebird,Fregata andrewsi
995,Mascarene Petrel,Pseudobulweria aterrima
996,Pincoya Storm Petrel,Oceanites pincoyae
997,Woodchat Shrike,Lanius senator
998,Dimorphic Egret,Egretta (garzetta) dimorpha
999,European Red-rumped Swallow,Cecropis rufula
