birdId,birdName,scientificName,found_in_xenocanto,xenocanto_recordings
111,Bridled Tern,Onychoprion anaethetus,Yes,42
112,Sooty Tern,Onychoprion fuscatus,Yes,39
113,White Tern,Gygis alba,Yes,56
114,Lesser Noddy,Anous tenuirostris,Yes,17
115,Brown Noddy,Anous stolidus,Yes,39
116,African Skimmer,Rynchops flavirostris,Yes,12
117,Black Skimmer,Rynchops niger,Yes,121
118,African Penguin,Spheniscus demersus,Yes,25
119,Magellanic Penguin,Spheniscus magellanicus,Yes,16
120,Gentoo Penguin,Pygoscelis papua,Yes,30
121,King Penguin,Aptenodytes patagonicus,Yes,38
122,Little Penguin,Eudyptula minor,Yes,49
123,Macaroni Penguin,Eudyptes chrysolophus,Yes,17
124,Northern Rockhopper Penguin,Eudyptes moseleyi,Yes,1
125,Southern Rockhopper Penguin,Eudyptes (chrysocome) filholi,Yes,0
126,Great White Pelican,Pelecanus onocrotalus,Yes,15
127,Pink-backed Pelican,Pelecanus rufescens,Yes,2
128,Reed Cormorant,Microcarbo africanus,Yes,4
129,Crowned Cormorant,Microcarbo coronatus,Yes,0
130,Cape Cormorant,Phalacrocorax capensis,Yes,3
131,Bank Cormorant,Phalacrocorax neglectus,Yes,0
132,White-breasted Cormorant,Phalacrocorax (carbo) lucidus,Yes,0
133,Crozet Shag,Leucocarbo melanogenis,Yes,0
134,African Darter,Anhinga rufa,Yes,10
135,Great Crested Grebe,Podiceps cristatus,Yes,412
136,Black-necked Grebe,Podiceps nigricollis,Yes,109
137,Little Grebe,Tachybaptus ruficollis,Yes,1898
138,White-faced Whistling Duck,Dendrocygna viduata,Yes,170
139,Fulvous Whistling Duck,Dendrocygna bicolor,Yes,65
140,White-backed Duck,Thalassornis leuconotus,Yes,3
141,African Pygmy Goose,Nettapus auritus,Yes,16
142,Spur-winged Goose,Plectropterus gambensis,Yes,20
143,Egyptian Goose,Alopochen aegyptiaca,Yes,343
144,South African Shelduck,Tadorna cana,Yes,47
145,Knob-billed Duck,Sarkidiornis melanotos,Yes,7
146,African Black Duck,Anas sparsa,Yes,9
147,Yellow-billed Duck,Anas undulata,Yes,35
148,Mallard,Anas platyrhynchos,Yes,1376
149,Cape Shoveler,Spatula smithii,Yes,10
150,Northern Shoveler,Spatula clypeata,Yes,318
151,Cape Teal,Anas capensis,Yes,4
152,Red-billed Teal,Anas erythrorhyncha,Yes,11
153,Garganey,Spatula querquedula,Yes,252
154,Blue-billed Teal,Spatula hottentota,Yes,3
155,Northern Pintail,Anas acuta,Yes,296
156,Southern Pochard,Netta erythrophthalma,Yes,7
157,Maccoa Duck,Oxyura maccoa,Yes,3
158,Red-knobbed Coot,Fulica cristata,Yes,57
159,Common Moorhen,Gallinula chloropus,Yes,2779
160,Lesser Moorhen,Paragallinula angulata,Yes,7
161,African Finfoot,Podica senegalensis,Yes,11
162,Greater Flamingo,Phoenicopterus roseus,Yes,346
163,Lesser Flamingo,Phoeniconaias minor,Yes,27
164,Yellow-billed Stork,Mycteria ibis,Yes,2
165,White Stork,Ciconia ciconia,Yes,204
166,Black Stork,Ciconia nigra,Yes,35
167,Abdim's Stork,Ciconia abdimii,Yes,1
168,Saddle-billed Stork,Ephippiorhynchus senegalensis,Yes,0
169,Marabou Stork,Leptoptilos crumenifer,Yes,14
170,Woolly-necked Stork,Ciconia microscelis,Yes,0
171,African Openbill,Anastomus lamelligerus,Yes,1
172,Hadeda Ibis,Bostrychia hagedash,Yes,220
173,Glossy Ibis,Plegadis falcinellus,Yes,175
174,Southern Bald Ibis,Geronticus calvus,Yes,2
175,African Sacred Ibis,Threskiornis aethiopicus,Yes,13
176,African Spoonbill,Platalea alba,Yes,8
177,Hamerkop,Scopus umbretta,Yes,56
178,Goliath Heron,Ardea goliath,Yes,4
179,Purple Heron,Ardea purpurea,Yes,458
180,Grey Heron,Ardea cinerea,Yes,1942
181,Black-headed Heron,Ardea melanocephala,Yes,26
182,Great Egret,Ardea alba,Yes,397
183,Yellow-billed Egret,Ardea brachyrhyncha,Yes,0
184,Little Egret,Egretta garzetta,Yes,630
185,Western Cattle Egret,Ardea ibis,Yes,0
186,Snowy Egret,Egretta thula,Yes,102
187,Western Reef Heron,Egretta gularis,Yes,41
188,Little Blue Heron,Egretta caerulea,Yes,70
189,Slaty Egret,Egretta vinaceigula,Yes,0
190,Black Heron,Egretta ardesiaca,Yes,11
191,Rufous-bellied Heron,Ardeola rufiventris,Yes,3
192,Squacco Heron,Ardeola ralloides,Yes,107
193,Malagasy Pond Heron,Ardeola idae,Yes,1
194,Green-backed Heron,Butorides striata,Yes,234
195,Black-crowned Night Heron,Nycticorax nycticorax,Yes,1399
196,White-backed Night Heron,Calherodius leuconotus,Yes,0
197,Eurasian Bittern,Botaurus stellaris,Yes,1332
198,Little Bittern,Botaurus minutus,Yes,0
199,Dwarf Bittern,Botaurus sturmii,Yes,0
200,African Rail,Rallus caerulescens,Yes,27
201,African Crake,Crecopsis egregia,Yes,6
202,Corn Crake,Crex crex,Yes,880
203,Striped Crake,Aenigmatolimnas marginalis,Yes,3
204,Spotted Crake,Porzana porzana,Yes,963
205,Baillon's Crake,Zapornia pusilla,Yes,397
206,Little Crake,Zapornia parva,Yes,323
207,Black Crake,Zapornia flavirostra,Yes,91
208,African Swamphen,Porphyrio madagascariensis,Yes,28
209,Allen's Gallinule,Porphyrio alleni,Yes,11
210,Purple Gallinule,Porphyrio martinica,Yes,148
211,Buff-spotted Flufftail,Sarothrura elegans,Yes,40
212,Red-chested Flufftail,Sarothrura rufa,Yes,71
213,Streaky-breasted Flufftail,Sarothrura boehmi,Yes,7
214,Striped Flufftail,Sarothrura affinis,Yes,10
215,White-winged Flufftail,Sarothrura ayresi,Yes,0
216,Snowy Sheathbill,Chionis albus,Yes,9
217,Black-faced Sheathbill,Chionis minor,Yes,4
218,African Oystercatcher,Haematopus moquini,Yes,12
219,Eurasian Oystercatcher,Haematopus ostralegus,Yes,1481
220,Pied Avocet,Recurvirostra avosetta,Yes,630
221,Black-winged Stilt,Himantopus himantopus,Yes,954
222,Crab-plover,Dromas ardeola,Yes,70
223,African Jacana,Actophilornis africanus,Yes,53
224,Lesser Jacana,Microparra capensis,Yes,3
225,Three-banded Plover,Charadrius tricollaris,Yes,61
226,Common Ringed Plover,Charadrius hiaticula,Yes,1134
227,Little Ringed Plover,Charadrius dubius,Yes,1367
228,Chestnut-banded Plover,Anarhynchus pallidus,Yes,0
229,Kittlitz's Plover,Anarhynchus pecuarius,Yes,0
230,White-fronted Plover,Anarhynchus marginatus,Yes,0
231,Lesser Sand Plover,Anarhynchus atrifrons,Yes,0
232,Greater Sand Plover,Anarhynchus leschenaultii,Yes,0
233,Caspian Plover,Anarhynchus asiaticus,Yes,0
234,Grey Plover,Pluvialis squatarola,Yes,780
235,American Golden Plover,Pluvialis dominica,Yes,129
236,Pacific Golden Plover,Pluvialis fulva,Yes,200
237,Greater Painted Snipe,Rostratula benghalensis,Yes,25
238,African Snipe,Gallinago nigripennis,Yes,18
239,Great Snipe,Gallinago media,Yes,186
240,Eurasian Curlew,Numenius arquata,Yes,1999
241,Whimbrel,Numenius phaeopus,Yes,1413
242,Asian Dowitcher,Limnodromus semipalmatus,Yes,10
243,Bar-tailed Godwit,Limosa lapponica,Yes,337
